#,Company,Symbol,Portfolio%,Price
331,Laboratory Corporation of America Holdings,LH,0.05%,219.93
332,"Darden Restaurants, Inc.",DRI,0.05%,167.17
333,Baxter International Inc.,BAX,0.05%,38.33
334,Genuine Parts Company,GPC,0.05%,139.61
335,Firstenergy Corp.,FE,0.05%,36.82
336,Ameren Corporation,AEE,0.05%,71.14
337,Coterra Energy Inc.,CTRA,0.05%,25.53
338,Targa Resources Corp.,TRGP,0.05%,85.98
339,Garmin Ltd,GRMN,0.05%,126.46
340,Waters Corp,WAT,0.05%,322.28
341,"Nasdaq, Inc.",NDAQ,0.05%,55.38
342,Verisign Inc,VRSN,0.05%,206.25
343,Carnival Corporation,CCL,0.05%,18.36
344,"Netapp, Inc",NTAP,0.05%,89.7
345,"Centerpoint Energy, Inc.",CNP,0.05%,28.81
346,Huntington Bancshares Inc,HBAN,0.05%,12.69
347,Steel Dynamics Inc,STLD,0.05%,122.13
348,Ball Corporation,BALL,0.05%,57.46
349,Regions Financial Corp.,RF,0.05%,19.13
350,Align Technology Inc,ALGN,0.05%,261.69
351,"Expeditors International of Washington, Inc.",EXPD,0.05%,126.52
352,"Cboe Global Markets, Inc.",CBOE,0.05%,174.99
353,"The Cooper Companies, Inc.",COO,0.05%,365.74
354,Skyworks Solutions Inc,SWKS,0.05%,111.27
355,"Walgreens Boots Alliance, Inc",WBA,0.05%,24.98
356,Akamai Technologies Inc,AKAM,0.05%,119.94
357,Las Vegas Sands Corp.,LVS,0.05%,47.73
358,"Axon Enterprise, Inc.",AXON,0.04%,255.69
359,Northern Trust Corp,NTRS,0.04%,85.59
360,"Principal Financial Group, Inc.",PFG,0.04%,77.79
361,Southwest Airlines Co.,LUV,0.04%,28.97
362,Clorox Company,CLX,0.04%,142.78
363,Hubbell Incorporated,HUBB,0.04%,325.11
364,Hologic Inc,HOLX,0.04%,71.01
365,Veralto Corporation,VLTO,0.04%,80.84
366,Factset Research Systems,FDS,0.04%,458.48
367,Cms Energy Corporation,CMS,0.04%,58.1
368,Atmos Energy Corporation,ATO,0.04%,114.28
369,"Mccormick & Company, Incorporated Non-Vtg Cs",MKC,0.04%,67.71
370,Albemarle Corporation,ALB,0.04%,145.91
371,"Tyler Technologies, Inc.",TYL,0.04%,418.47
372,Omnicom Group Inc.,OMC,0.04%,86.32
373,"Brown & Brown, Inc.",BRO,0.04%,71.03
374,"First Solar, Inc.",FSLR,0.04%,165.94
